127.0.0.1, 2017-02-05 01:47:18, GET, /HelloWorldWeb2Py/default/index, HTTP/1.1, 200, 0.039000
127.0.0.1, 2017-02-05 01:47:19, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.068000
127.0.0.1, 2017-02-05 01:47:19, GET, /HelloWorldWeb2Py/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2017-02-05 01:47:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-05 01:47:35, GET, /admin/default/, HTTP/1.1, 303, 0.024000
127.0.0.1, 2017-02-05 01:47:36, GET, /admin/default/site, HTTP/1.1, 200, 0.300000
127.0.0.1, 2017-02-05 01:47:37, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:47:54, GET, /admin/default/pack/admin, HTTP/1.1, 303, 1.974000
127.0.0.1, 2017-02-05 01:47:55, GET, /admin/default/site, HTTP/1.1, 200, 0.175000
127.0.0.1, 2017-02-05 01:47:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-05 01:48:00, GET, /admin/default/site, HTTP/1.1, 200, 0.102000
127.0.0.1, 2017-02-05 01:48:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:48:06, GET, /admin/default/index, HTTP/1.1, 303, 0.027000
127.0.0.1, 2017-02-05 01:48:06, GET, /admin/default/site, HTTP/1.1, 200, 0.107000
127.0.0.1, 2017-02-05 01:48:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-05 01:48:28, GET, /admin/default/design/examples, HTTP/1.1, 200, 1.617000
127.0.0.1, 2017-02-05 01:48:28, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2017-02-05 01:48:28, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-05 01:48:28, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2017-02-05 01:48:28, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2017-02-05 01:48:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-05 01:48:38, GET, /admin/default/site, HTTP/1.1, 200, 0.125000
127.0.0.1, 2017-02-05 01:48:38, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
